"Run","TechRepMixture","Fraction","Channel","Condition","Mixture","BioReplicate"
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_6.raw","1","6","TMT6_129",1,"1",1
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_7.raw","1","7","TMT6_129",1,"1",1
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_8.raw","1","8","TMT6_129",1,"1",1
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_9.raw","1","9","TMT6_129",1,"1",1
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_10.raw","1","10","TMT6_129",1,"1",1
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_11.raw","1","11","TMT6_129",1,"1",1
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_12.raw","1","12","TMT6_129",1,"1",1
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_1.raw","1","1","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_2.raw","1","2","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_3.raw","1","3","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_4.raw","1","4","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_5.raw","1","5","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_6.raw","1","6","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_7.raw","1","7","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_8.raw","1","8","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_9.raw","1","9","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_10.raw","1","10","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_11.raw","1","11","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_12.raw","1","12","TMT6_130",1,"1",2
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_1.raw","1","1","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_2.raw","1","2","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_3.raw","1","3","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_4.raw","1","4","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_5.raw","1","5","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_6.raw","1","6","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_7.raw","1","7","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_8.raw","1","8","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_9.raw","1","9","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_10.raw","1","10","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_11.raw","1","11","TMT6_131",1,"1",3
"ch_19Jan2017_SM-1-1_Sp-6-2_CID-OT-MS3-Short_HpH_12.raw","1","12","TMT6_131",1,"1",3
